name,url,category,brand,price,old_price,discount,image_url,scraped_at
Samsung Galaxy S26 Ultra 5G 12GB 256GB,https://cellphones.com.vn/dien-thoai-samsung-galaxy-s26-ultra.html,dien_thoai,Samsung,30890000,36990000,"Giảm 
16%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/s/a/samsung-galaxy-s26-ultra-1.jpg,2026-07-14T22:16:08.353360
iPhone 17 Pro 256GB | Chính hãng,https://cellphones.com.vn/iphone-17-pro.html,dien_thoai,iPhone,33890000,34990000,"Giảm 
3%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/i/p/iphone-17-pro-256-gb.png,2026-07-14T22:16:08.539968
Samsung Galaxy Z Fold7 12GB 256GB,https://cellphones.com.vn/dien-thoai-samsung-galaxy-z-fold-7.html,dien_thoai,Samsung,40990000,46990000,"Giảm 
13%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/s/a/samsung-galaxy-z-fold-7.jpg,2026-07-14T22:16:08.711922
iPhone 17 Pro Max 256GB | Chính hãng,https://cellphones.com.vn/iphone-17-pro-max.html,dien_thoai,iPhone,35990000,37990000,"Giảm 
5%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/i/p/iphone-17-pro-max_3.jpg,2026-07-14T22:16:08.866030
iPhone 17 256GB | Chính hãng,https://cellphones.com.vn/iphone-17-256gb.html,dien_thoai,iPhone,24290000,24990000,"Giảm 
3%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/i/p/iphone_17_256gb-3_2.jpg,2026-07-14T22:16:09.024418
OPPO Reno16 F 5G 8GB 256GB,https://cellphones.com.vn/dien-thoai-oppo-reno16-f.html,dien_thoai,OPPO,15990000,,,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/o/p/oppo-reno16f-pop-white-9.jpg,2026-07-14T22:16:09.186855
Samsung Galaxy A17 5G 8GB 128GB,https://cellphones.com.vn/dien-thoai-samsung-galaxy-a17-5g.html,dien_thoai,Samsung,6090000,7090000,"Giảm 
14%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/s/a/samsung-galaxy-a17-5g-back.jpg,2026-07-14T22:16:09.508014
Nubia Neo 5 5G 8GB 128GB,https://cellphones.com.vn/dien-thoai-nubia-neo-5-5g.html,dien_thoai,Unknown,6990000,7490000,"Giảm 
7%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/d/i/dien-thoai-nubia-neo-5-5g-den.jpg,2026-07-14T22:16:09.678822
Samsung Galaxy S26 5G 12GB 256GB,https://cellphones.com.vn/dien-thoai-samsung-galaxy-s26.html,dien_thoai,Samsung,21490000,25990000,"Giảm 
17%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/s/a/samsung-galaxy-s26-10.jpg,2026-07-14T22:16:09.815083
OPPO Find X9s 12GB 256GB,https://cellphones.com.vn/dien-thoai-oppo-find-x9s.html,dien_thoai,OPPO,23990000,24990000,"Giảm 
4%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/o/p/oppo-find-x9s-25.jpg,2026-07-14T22:16:09.943307
